id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4698410,Laura,,Tower Hamlets,51.5191845,-0.043546045,Entire home/apt,85,5,0,,,1,102
429407,Ami,,Tower Hamlets,51.52819176,-0.036393551,Entire home/apt,74,4,11,2014/11/5,0.3,1,87
4911127,Alex,,Tower Hamlets,51.52585456,-0.057148236,Entire home/apt,70,1,0,,,1,78
4758692,Sasha,,Islington,51.54453081,-0.100616351,Private room,60,1,4,2015/3/24,1.3,2,324
5494999,Kamal,,Islington,51.52032953,-0.103929948,Entire home/apt,129,1,0,,,1,177
4678646,Neeraj,,Islington,51.53063432,-0.105576071,Private room,100,1,5,2015/3/21,1.2,1,358
5125481,Gabrielle,,Islington,51.54726614,-0.078306006,Private room,40,1,1,2015/2/3,0.5,2,0
1453396,Rebecca,,Islington,51.53194968,-0.106224425,Entire home/apt,125,1,0,,,1,365
348348,Miranda,,Lambeth,51.44453955,-0.120684588,Private room,64,1,28,2015/3/3,0.7,4,291
5366624,David,,Hackney,51.53371184,-0.071269587,Private room,49,1,3,2015/3/29,2.4,2,223
633970,Juliet,,Richmond upon Thames,51.44299438,-0.347184204,Private room,48,3,9,2014/10/6,0.3,1,212
994497,Bruno,,Hackney,51.5379085,-0.076063701,Entire home/apt,90,3,14,2014/10/15,0.6,1,353
4418081,Valéria & Chris,,Tower Hamlets,51.52683767,-0.0688375,Private room,35,1,4,2015/3/21,0.8,47,360
302374,Andrew,,Waltham Forest,51.56128493,-0.001078816,Private room,25,1,114,2015/3/23,2.9,2,339
4512209,Rudolf,,Wandsworth,51.45883244,-0.213272968,Entire home/apt,50,2,0,,,1,311
5331440,Ollie,,Westminster,51.52382857,-0.158699094,Entire home/apt,159,1,5,2015/4/1,3.3,9,292
3348252,Mohammed,,Camden,51.52676714,-0.114983417,Entire home/apt,150,7,42,2015/3/11,5.1,2,82
2224609,Su,,Brent,51.53396277,-0.20129577,Private room,60,1,18,2015/3/8,1.4,1,223
368803,Ann,,Islington,51.52368319,-0.106542695,Private room,65,4,36,2015/3/1,2.1,2,301
1525097,Antonio & Andrea,,Islington,51.53099938,-0.11160305,Entire home/apt,97,2,88,2015/3/24,4.6,9,247
3653140,Chris,,Islington,51.55301185,-0.110465421,Private room,50,1,0,,,1,181
2822720,Geoff,,Islington,51.53023791,-0.113551322,Entire home/apt,95,2,39,2015/4/3,3.9,1,187
1963796,Petra,,Southwark,51.50053856,-0.078083359,Entire home/apt,350,2,0,,,106,168
1880855,Pimmi,,Lewisham,51.44907813,-0.034626143,Entire home/apt,70,2,6,2014/9/8,0.4,1,59
4741272,Alexis,,Wandsworth,51.4529584,-0.16123009,Entire home/apt,106,2,1,2015/1/4,0.3,1,150
4714604,Westland,,Westminster,51.50992992,-0.19184581,Private room,45,1,4,2015/3/8,1.6,12,336
424350,Jac,,Camden,51.52700987,-0.119132015,Entire home/apt,140,3,48,2015/1/1,1.4,3,316
827479,Karim,,Westminster,51.49005343,-0.142315878,Entire home/apt,90,3,49,2015/3/23,1.8,1,18
5612309,Fiorella,,Westminster,51.51724652,-0.189552145,Private room,45,5,0,,,1,1
95373,Jabulani,,Westminster,51.51293015,-0.126642619,Private room,70,2,53,2015/2/25,1.2,1,123
4268755,Sergio,,Tower Hamlets,51.49798856,-0.020197362,Entire home/apt,160,1,0,,,7,291
4761334,Lee,,Hackney,51.54945136,-0.068588147,Entire home/apt,80,1,1,2015/1/3,0.3,1,95
910648,Jenny,,Tower Hamlets,51.48636391,-0.015062368,Private room,65,2,5,2014/10/6,0.2,8,346
4198398,Giovanni & Nadia,,Lewisham,51.47453635,-0.036568432,Private room,64,4,0,,,28,362
5463847,Thomas,,Tower Hamlets,51.50205332,-0.019491902,Entire home/apt,230,3,1,2015/3/31,1,6,276
28010,Valentina,,Tower Hamlets,51.52478164,-0.074241831,Private room,60,3,17,2015/3/11,0.5,2,267
2555480,Antoine,,Islington,51.54570583,-0.104068669,Private room,60,1,0,,,2,0
2796795,Tanya,,Islington,51.54903344,-0.103980922,Private room,69,1,3,2014/12/18,0.4,2,309
4889325,Map,,Newham,51.51630912,0.055359059,Entire home/apt,70,1,1,2015/3/3,0.9,6,346
3489355,Luke,,Islington,51.54175048,-0.113523872,Entire home/apt,110,3,3,2015/1/3,0.4,1,361
952522,Thomas,,Hackney,51.5390703,-0.055251079,Entire home/apt,112,3,57,2015/4/1,2.6,2,341
727626,Grant,,Hackney,51.53120018,-0.073250825,Entire home/apt,150,3,18,2015/3/10,0.7,11,333
2963427,Kie,,Hackney,51.53059363,-0.086366108,Entire home/apt,110,3,0,,,17,365
4178507,Amber,,Hackney,51.5586418,-0.073436717,Private room,55,7,0,,,1,170
2344728,David,,Hackney,51.54508584,-0.04535616,Private room,139,1,0,,,1,365
2389113,Darnley Road Studios,,Hackney,51.54395777,-0.051042956,Shared room,150,1,6,2015/1/1,0.5,2,364
2145108,Sally,,Haringey,51.57369355,-0.098657233,Private room,52,1,43,2015/3/19,3.1,1,326
853870,Petra,,Southwark,51.50462716,-0.082948806,Entire home/apt,350,2,1,2013/10/14,0.1,106,166
4275470,Petra,,Southwark,51.49960936,-0.083416201,Entire home/apt,280,2,0,,,106,298
43814,Gina,,Westminster,51.51698114,-0.150938559,Entire home/apt,297,2,46,2015/2/22,1.3,1,341
3120631,Pete,,Hammersmith and Fulham,51.48360469,-0.201854457,Private room,50,1,0,,,1,293
5063996,Debbie,,Haringey,51.57787873,-0.12446921,Entire home/apt,110,3,0,,,1,18
1191561,Giovanni & Nadia,,Lewisham,51.47516428,-0.037722667,Shared room,15,2,1,2014/3/5,0.1,28,331
2386245,Caroline,,Richmond upon Thames,51.45167339,-0.323739026,Private room,45,1,16,2015/3/29,1.3,1,349
